gene	tree_set	tree_set_label	label_type	label_value	ntaxa	mpd	mpd_random	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	nti	p_mntd_cluster	fdr_mntd	interpretation
nifD	iupac	Mixed-IUPAC	state	WY	14	0.2724	0.3012	0.7856	0.217	0.434	0.1174	0.1275	0.4415	0.344	0.5205	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	state	P.R	62	0.3028	0.3033	0.0305	0.494	0.7904	0.0563	0.0811	3.3889	0.001	0.0044444444444444444	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	state	AL	176	0.3068	0.3043	-0.2798	0.599	0.872093023255814	0.0411	0.0567	5.0872	0.001	0.0044444444444444444	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	state	MA	7	0.3137	0.299	-0.2656	0.624	0.872093023255814	0.1664	0.1635	-0.0747	0.555	0.74	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	state	Alaska	128	0.3046	0.3009	-0.3377	0.644	0.8844943820224719	0.0511	0.0627	2.8936	0.003	0.010909090909090908	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	state	MI	7	0.3193	0.2995	-0.3529	0.649	0.8844943820224719	0.1017	0.1627	1.6379	0.048	0.10105263157894737	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	state	CA	15	0.4219	0.2964	-3.8358	1	1	0.0841	0.1235	1.7537	0.029	0.07102040816326531	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	state	MD	7	0.3546	0.2998	-0.9735	0.838	1	0.1772	0.1634	-0.3546	0.631	0.7696969696969698	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	state	TN	22	0.3529	0.303	-1.8003	0.964	1	0.1153	0.1111	-0.2652	0.628	0.7696969696969698	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	state	TX	92	0.3204	0.3035	-1.2583	0.894	1	0.0565	0.0715	2.8124	0.002	0.008	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	state	VA	40	0.3492	0.3004	-2.4559	0.99	1	0.0917	0.0916	-0.0082	0.509	0.6862921348314607	not significant / weak evidence
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Bradyrhizobium	253	0.1514	0.2303	13.7446	0.001	0.0020714285714285717	0.0221	0.0387	8.8474	0.001	0.002230769230769231	significant clustering by MPD
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Mesorhizobium	638	0.2153	0.2285	4.3882	0.001	0.0020714285714285717	0.0229	0.0279	6.9782	0.001	0.002230769230769231	significant clustering by MPD
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Microvirga	291	0.1947	0.2319	7.2879	0.001	0.0020714285714285717	0.037	0.0371	0.0323	0.492	0.6794285714285714	significant clustering by MPD
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Neorhizobium	25	0.1924	0.2343	2.2384	0.013	0.0235625	0.0408	0.0871	3.8326	0.001	0.002230769230769231	significant clustering by MPD
